soru,cevap,dönem
"Osmanlı Beyliği bağımsızlığını ne zaman ilan etti?","1299 yılında Osmanlı Beyliği Söğüt'te Osman Gazi tarafından bağımsızlığını ilan etti.","kuruluş"
"Osman Gazi devletini ne zaman kurdu?","1299 yılında Osmanlı Beyliği Söğüt'te Osman Gazi tarafından bağımsızlığını ilan etti.","kuruluş"
"Osmanlı Devleti'nin kuruluş yılı nedir?","1299 yılında Osmanlı Beyliği Söğüt'te Osman Gazi tarafından bağımsızlığını ilan etti.","kuruluş"
"Kuruluş tarihi nedir?","1299 yılında Osmanlı Beyliği Söğüt'te Osman Gazi tarafından bağımsızlığını ilan etti.","kuruluş"
"Yundhisar' Köprühisar ve Yenişehir ne zaman fethedildi?","1300 yılında Yundhisar' Köprühisar ve Yenişehir kaleleri fethedildi.","kuruluş"
"Bu kaleler ne zaman Osmanlı toprağı oldu?","1300 yılında Yundhisar' Köprühisar ve Yenişehir kaleleri fethedildi.","kuruluş"
"1300 yılında hangi fetihler yapıldı?","1300 yılında Yundhisar' Köprühisar ve Yenişehir kaleleri fethedildi.","kuruluş"
"1300 yılındaki fetihler nelerdir?","1300 yılında Yundhisar' Köprühisar ve Yenişehir kaleleri fethedildi.","kuruluş"
"Osmanlıların ilk başkenti neresidir?","1300 yılında Yenişehir başkent yapıldı.","kuruluş"
"Yenişehir ne zaman başkent oldu?","1300 yılında Yenişehir başkent yapıldı.","kuruluş"
"Osmanlı Devleti'nin ilk başkenti nedir?","1300 yılında Yenişehir başkent yapıldı.","kuruluş"
"Yenişehir'in başkent oluşu nedir?","1300 yılında Yenişehir başkent yapıldı.","kuruluş"
"İlk Bizans-Osmanlı savaşı hangisidir?","1302 yılındaki Koyunhisar (Bafeus) Muharebesi'nde Osman Gazi Bizans'ı mağlup etti.","kuruluş"
"Osman Gazi Bizans'a karşı ilk büyük zaferini ne zaman kazandı?","1302 yılındaki Koyunhisar (Bafeus) Muharebesi'nde Osman Gazi Bizans'ı mağlup etti.","kuruluş"
"Koyunhisar Muharebesi ne zaman yapıldı?","1302 yılındaki Koyunhisar (Bafeus) Muharebesi'nde Osman Gazi Bizans'ı mağlup etti.","kuruluş"
"Bizans-Osmanlı savaşlarının ilki nedir?","1302 yılındaki Koyunhisar (Bafeus) Muharebesi'nde Osman Gazi Bizans'ı mağlup etti.","kuruluş"
"Osmanlılar İznik'i ne zaman kuşattı?","1303 yılında İznik kuşatıldı ve Marmaracık Kalesi fethedildi.","kuruluş"
"Marmaracık Kalesi ne zaman fethedildi?","1303 yılında İznik kuşatıldı ve Marmaracık Kalesi fethedildi.","kuruluş"
"İznik kuşatması ne zaman oldu?","1303 yılında İznik kuşatıldı ve Marmaracık Kalesi fethedildi.","kuruluş"
"1303 yılındaki askeri faaliyetler nelerdir?","1303 yılında İznik kuşatıldı ve Marmaracık Kalesi fethedildi.","kuruluş"
"Akhisar' Mekece ve Geyve ne zaman ele geçirildi?","1304 yılında Akhisar' Mekece ve Geyve ele geçirildi.","kuruluş"
"Bu yerler ne zaman Osmanlı egemenliğine girdi?","1304 yılında Akhisar' Mekece ve Geyve ele geçirildi.","kuruluş"
"1304 yılındaki fetihler nelerdir?","1304 yılında Akhisar' Mekece ve Geyve ele geçirildi.","kuruluş"
"1304 yılında hangi topraklar kazanıldı?","1304 yılında Akhisar' Mekece ve Geyve ele geçirildi.","kuruluş"
"Kestel' Kete ve Ulubad kaleleri ne zaman fethedildi?","1306 yılında Dimbos zaferi sonucunda Kestel' Kete ve Ulubad kaleleri fethedildi.","kuruluş"
"Dimbos zaferi ne zaman kazanıldı?","1306 yılında Dimbos zaferi sonucunda Kestel' Kete ve Ulubad kaleleri fethedildi.","kuruluş"
"Bu kaleler hangi savaştan sonra Osmanlılara geçti?","1306 yılında Dimbos zaferi sonucunda Kestel' Kete ve Ulubad kaleleri fethedildi.","kuruluş"
"Dimbos Muharebesi'nin sonuçları nelerdir?","1306 yılında Dimbos zaferi sonucunda Kestel' Kete ve Ulubad kaleleri fethedildi.","kuruluş"
"Osmanlıların ilk askeri antlaşması ne zaman yapıldı?","1306 yılında ilk askeri antlaşma yapıldı.","kuruluş"
"İlk askeri antlaşma ne zaman imzalandı?","1306 yılında ilk askeri antlaşma yapıldı.","kuruluş"
"Osmanlı tarihindeki ilk askeri antlaşma nedir?","1306 yılında ilk askeri antlaşma yapıldı.","kuruluş"
"İlk askeri antlaşma hangi yılda yapıldı?","1306 yılında ilk askeri antlaşma yapıldı.","kuruluş"
"İznik ne zaman sıkıştırıldı?","1307 yılında İznik sıkıştırıldı ve Yalova akını düzenlendi.","kuruluş"
"Yalova akını ne zaman düzenlendi?","1307 yılında İznik sıkıştırıldı ve Yalova akını düzenlendi.","kuruluş"
"1307 yılındaki askeri hareketler nelerdir?","1307 yılında İznik sıkıştırıldı ve Yalova akını düzenlendi.","kuruluş"
"1307 yılında ne yapıldı?","1307 yılında İznik sıkıştırıldı ve Yalova akını düzenlendi.","kuruluş"
"Alyos adası nasıl Osmanlı toprağı oldu?","1308 yılında Ulubat gölü üzerindeki Alyos adası' Aygut Alp'in oğlu Kara Ali tarafından barış yoluyla teslim alındı.","kuruluş"
"Alyos adasını kim teslim aldı?","1308 yılında Ulubat gölü üzerindeki Alyos adası' Aygut Alp'in oğlu Kara Ali tarafından barış yoluyla teslim alındı.","kuruluş"
"Alyos adası ne zaman alındı?","1308 yılında Ulubat gölü üzerindeki Alyos adası' Aygut Alp'in oğlu Kara Ali tarafından barış yoluyla teslim alındı.","kuruluş"
"Barış yoluyla alınan ada hangisidir?","1308 yılında Ulubat gölü üzerindeki Alyos adası' Aygut Alp'in oğlu Kara Ali tarafından barış yoluyla teslim alındı.","kuruluş"
"Köse Mihal kimdir?","1313 yılında Harmankaya Tekfuru Köse Mihal Müslüman olarak kalesi ve taraftarları ile birlikte Osmanlılara katıldı.","kuruluş"
"Köse Mihal ne zaman Müslüman oldu?","1313 yılında Harmankaya Tekfuru Köse Mihal Müslüman olarak kalesi ve taraftarları ile birlikte Osmanlılara katıldı.","kuruluş"
"Köse Mihal Osmanlılara ne zaman katıldı?","1313 yılında Harmankaya Tekfuru Köse Mihal Müslüman olarak kalesi ve taraftarları ile birlikte Osmanlılara katıldı.","kuruluş"
"Bir Bizans tekfuru Osmanlı saflarına ne zaman katıldı?","1313 yılında Harmankaya Tekfuru Köse Mihal Müslüman olarak kalesi ve taraftarları ile birlikte Osmanlılara katıldı.","kuruluş"
"Osman Gazi'nin rahatsızlığında yönetimi kim devraldı?","1320 yılında Osman Gazi'nin rahatsızlığı nedeniyle oğlu Orhan Bey yönetimi ele aldı.","kuruluş"
"Orhan Bey ne zaman yönetimi ele aldı?","1320 yılında Osman Gazi'nin rahatsızlığı nedeniyle oğlu Orhan Bey yönetimi ele aldı.","kuruluş"
"1320'de yönetimde ne değişti?","1320 yılında Osman Gazi'nin rahatsızlığı nedeniyle oğlu Orhan Bey yönetimi ele aldı.","kuruluş"
"Orhan Bey idareyi ne zaman ele aldı?","1320 yılında Osman Gazi'nin rahatsızlığı nedeniyle oğlu Orhan Bey yönetimi ele aldı.","kuruluş"
"Gemlik ve Mudanya ne zaman fethedildi?","1321 yılında Gemlik ve Mudanya'nın fethi gerçekleşti.","kuruluş"
"Bu liman kentleri ne zaman Osmanlı toprağı oldu?","1321 yılında Gemlik ve Mudanya'nın fethi gerçekleşti.","kuruluş"
"1321 yılındaki fetihler nelerdir?","1321 yılında Gemlik ve Mudanya'nın fethi gerçekleşti.","kuruluş"
"Gemlik ve Mudanya'nın fethi ne zaman oldu?","1321 yılında Gemlik ve Mudanya'nın fethi gerçekleşti.","kuruluş"
"Akyazı ve İmralı Adası ne zaman fethedildi?","1324 yılında Umur-Han Beyliği elindeki Akyazı ve İmralı Adası fethedildi.","kuruluş"
"İmralı Adası'nın fethi ne zaman oldu?","1324 yılında Umur-Han Beyliği elindeki Akyazı ve İmralı Adası fethedildi.","kuruluş"
"1324 yılındaki fetihler nelerdir?","1324 yılında Umur-Han Beyliği elindeki Akyazı ve İmralı Adası fethedildi.","kuruluş"
"Akyazı ne zaman fethedildi?","1324 yılında Umur-Han Beyliği elindeki Akyazı ve İmralı Adası fethedildi.","kuruluş"
"Osman Gazi ne zaman vefat etti?","1326 yılında Osman Gazi vefat etti ve yerine oğlu Orhan Gazi tahta geçti.","kuruluş"
"Osman Gazi'nin yerine kim geçti?","1326 yılında Osman Gazi vefat etti ve yerine oğlu Orhan Gazi tahta geçti.","kuruluş"
"Orhan Gazi ne zaman tahta geçti?","1326 yılında Osman Gazi vefat etti ve yerine oğlu Orhan Gazi tahta geçti.","kuruluş"
"1326 yılında tahta kim çıktı?","1326 yılında Osman Gazi vefat etti ve yerine oğlu Orhan Gazi tahta geçti.","kuruluş"
"Bursa ne zaman fethedildi?","1326 yılında Bursa Osmanlılar tarafından alındı.","kuruluş"
"Bursa'yı kim fethetti?","1326 yılında Bursa Osmanlılar tarafından alındı.","kuruluş"
"Bursa'nın fethi hangi yılda oldu?","1326 yılında Bursa Osmanlılar tarafından alındı.","kuruluş"
"Osmanlılar Bursa'yı ne zaman aldı?","1326 yılında Bursa Osmanlılar tarafından alındı.","kuruluş"
"İlk Osmanlı gümüş akçasını kim bastırdı?","1327 yılında Orhan Gazi tarafından bilinen ilk gümüş akçe bastırıldı.","kuruluş"
"İlk gümüş akçe ne zaman bastırıldı?","1327 yılında Orhan Gazi tarafından bilinen ilk gümüş akçe bastırıldı.","kuruluş"
"Osmanlı para sistemi ne zaman başladı?","1327 yılında Orhan Gazi tarafından bilinen ilk gümüş akçe bastırıldı.","kuruluş"
"Orhan Gazi akçeyi ne zaman bastırdı?","1327 yılında Orhan Gazi tarafından bilinen ilk gümüş akçe bastırıldı.","kuruluş"
"Pelekanon zaferi ne zaman kazanıldı?","1329 yılında Bizans'a karşı Pelekanon zaferi kazanıldı.","kuruluş"
"Pelekanon zaferi hangi devlete karşı kazanıldı?","1329 yılında Bizans'a karşı Pelekanon zaferi kazanıldı.","kuruluş"
"Orhan Gazi Bizans'a karşı hangi savaşı kazandı?","1329 yılında Bizans'a karşı Pelekanon zaferi kazanıldı.","kuruluş"
"Pelekanon Muharebesi ne zaman oldu?","1329 yılında Bizans'a karşı Pelekanon zaferi kazanıldı.","kuruluş"
"Osmanlı hangi beyliklerle ittifak yaptı?","1330 yılında Osmanlı' Aydın ve Saruhan beylikleriyle Bizans'a karşı ittifak yaptı.","kuruluş"
"Bu ittifak ne zaman kuruldu?","1330 yılında Osmanlı' Aydın ve Saruhan beylikleriyle Bizans'a karşı ittifak yaptı.","kuruluş"
"Bizans'a karşı ittifak yapan beylikler hangileridir?","1330 yılında Osmanlı' Aydın ve Saruhan beylikleriyle Bizans'a karşı ittifak yaptı.","kuruluş"
"1330'daki ittifakta kimler vardı?","1330 yılında Osmanlı' Aydın ve Saruhan beylikleriyle Bizans'a karşı ittifak yaptı.","kuruluş"
"Kocaeli kıyıları ve Kandıra ne zaman fethedildi?","1330 yılında Üsküdar'a kadar Kocaeli kıyıları ve Kandıra fethedildi.","kuruluş"
"Üsküdar'a kadar uzanan fetih ne zaman oldu?","1330 yılında Üsküdar'a kadar Kocaeli kıyıları ve Kandıra fethedildi.","kuruluş"
"1330'daki fetihler nelerdir?","1330 yılında Üsküdar'a kadar Kocaeli kıyıları ve Kandıra fethedildi.","kuruluş"
"Kandıra ne zaman fethedildi?","1330 yılında Üsküdar'a kadar Kocaeli kıyıları ve Kandıra fethedildi.","kuruluş"
"İznik ne zaman fethedildi?","1331 yılında İznik Osmanlılar tarafından alındı.","kuruluş"
"İznik'i kim fethetti?","1331 yılında İznik Osmanlılar tarafından alındı.","kuruluş"
"İznik'in fethi ne zaman gerçekleşti?","1331 yılında İznik Osmanlılar tarafından alındı.","kuruluş"
"İznik hangi yılda alındı?","1331 yılında İznik Osmanlılar tarafından alındı.","kuruluş"
"İlk Osmanlı medresesi nerede kuruldu?","1331 yılında ilk Osmanlı medresesi İznik'te Orhan Gazi tarafından kuruldu.","kuruluş"
"İlk medreseyi kim kurdu?","1331 yılında ilk Osmanlı medresesi İznik'te Orhan Gazi tarafından kuruldu.","kuruluş"
"İlk medrese ne zaman kuruldu?","1331 yılında ilk Osmanlı medresesi İznik'te Orhan Gazi tarafından kuruldu.","kuruluş"
"Osmanlı eğitim sistemi ne zaman başladı?","1331 yılında ilk Osmanlı medresesi İznik'te Orhan Gazi tarafından kuruldu.","kuruluş"
"İzmit ne zaman kuşatıldı?","1333 yılında İzmit kuşatıldı ve Bizans'la anlaşma yapıldı.","kuruluş"
"Bizans'la anlaşma ne zaman yapıldı?","1333 yılında İzmit kuşatıldı ve Bizans'la anlaşma yapıldı.","kuruluş"
"1333 yılında İzmit için ne yapıldı?","1333 yılında İzmit kuşatıldı ve Bizans'la anlaşma yapıldı.","kuruluş"
"İzmit kuşatması ve anlaşma nedir?","1333 yılında İzmit kuşatıldı ve Bizans'la anlaşma yapıldı.","kuruluş"
"Ulubat ve Balıkesir ne zaman alındı?","1335 yılında Bizans'tan Ulubat ve Karesi Beyliği'nden Balıkesir ele geçirildi.","kuruluş"
"Ulubat kimden alındı?","1335 yılında Bizans'tan Ulubat ve Karesi Beyliği'nden Balıkesir ele geçirildi.","kuruluş"
"Balıkesir kimden alındı?","1335 yılında Bizans'tan Ulubat ve Karesi Beyliği'nden Balıkesir ele geçirildi.","kuruluş"
"1335 yılında hangi iki yer alındı?","1335 yılında Bizans'tan Ulubat ve Karesi Beyliği'nden Balıkesir ele geçirildi.","kuruluş"
"İzmit'i kim fethetti?","1337 yılında Orhan Gazi İzmit'i' Süleyman Gazi ise Taraklı Yenicesi' Göynük ve Mudurnu'yu fethetti.","kuruluş"
"Taraklı Yenicesi' Göynük ve Mudurnu'yu kim fethetti?","1337 yılında Orhan Gazi İzmit'i' Süleyman Gazi ise Taraklı Yenicesi' Göynük ve Mudurnu'yu fethetti.","kuruluş"
"Bu fetihler ne zaman yapıldı?","1337 yılında Orhan Gazi İzmit'i' Süleyman Gazi ise Taraklı Yenicesi' Göynük ve Mudurnu'yu fethetti.","kuruluş"
"1337 yılındaki fetihler nelerdir?","1337 yılında Orhan Gazi İzmit'i' Süleyman Gazi ise Taraklı Yenicesi' Göynük ve Mudurnu'yu fethetti.","kuruluş"
"Karesi Beyliği ne zaman ilhak edildi?","1345 yılında Karesi Beyliği tamamen Osmanlılara ilhak edildi.","kuruluş"
"Balıkesir ve çevresi ne zaman kesin Osmanlı toprağı oldu?","1345 yılında Karesi Beyliği tamamen Osmanlılara ilhak edildi.","kuruluş"
"Karesi Beyliği'nin ilhakı ne zaman oldu?","1345 yılında Karesi Beyliği tamamen Osmanlılara ilhak edildi.","kuruluş"
"Karesi Beyliği hangi yılda Osmanlı'ya katıldı?","1345 yılında Karesi Beyliği tamamen Osmanlılara ilhak edildi.","kuruluş"
"Orhan Gazi kimin kızıyla evlendi?","1346 yılında Orhan Gazi' Bizans İmparatoru Kantakuzenos'un kızı ile evlendi ve Bizans'la ittifak kurdu.","kuruluş"
"Bu evlilik ne zaman oldu?","1346 yılında Orhan Gazi' Bizans İmparatoru Kantakuzenos'un kızı ile evlendi ve Bizans'la ittifak kurdu.","kuruluş"
"Osmanlı-Bizans ittifakı ne zaman yapıldı?","1346 yılında Orhan Gazi' Bizans İmparatoru Kantakuzenos'un kızı ile evlendi ve Bizans'la ittifak kurdu.","kuruluş"
"Orhan Gazi'nin evliliği hangi ittifakı sağladı?","1346 yılında Orhan Gazi' Bizans İmparatoru Kantakuzenos'un kızı ile evlendi ve Bizans'la ittifak kurdu.","kuruluş"
"Osmanlılar Rumeli'ye ne zaman geçti?","1349-1352 yılları arasında Süleyman Paşa' Bizans'a yardım bahanesiyle Rumeli'ye geçti ve Çimpe Kalesi'ni Osmanlı üssü haline getirdi.","kuruluş"
"Çimpe Kalesi ne zaman Osmanlı üssü oldu?","1349-1352 yılları arasında Süleyman Paşa' Bizans'a yardım bahanesiyle Rumeli'ye geçti ve Çimpe Kalesi'ni Osmanlı üssü haline getirdi.","kuruluş"
"Rumeli'deki ilk üs hangi kaledir?","1349-1352 yılları arasında Süleyman Paşa' Bizans'a yardım bahanesiyle Rumeli'ye geçti ve Çimpe Kalesi'ni Osmanlı üssü haline getirdi.","kuruluş"
"Süleyman Paşa Rumeli'ye nasıl geçti?","1349-1352 yılları arasında Süleyman Paşa' Bizans'a yardım bahanesiyle Rumeli'ye geçti ve Çimpe Kalesi'ni Osmanlı üssü haline getirdi.","kuruluş"
"Osmanlılar Çimpe Kalesi'ne ne zaman yerleşti?","1352 yılında Osmanlılar Çimpe Kalesi'ne yerleşti ve Bizans'la savaş başladı.","kuruluş"
"Bizans'la savaş ne zaman başladı?","1352 yılında Osmanlılar Çimpe Kalesi'ne yerleşti ve Bizans'la savaş başladı.","kuruluş"
"1352'de Rumeli'de ne oldu?","1352 yılında Osmanlılar Çimpe Kalesi'ne yerleşti ve Bizans'la savaş başladı.","kuruluş"
"Osmanlı-Bizans savaşı ne zaman yeniden başladı?","1352 yılında Osmanlılar Çimpe Kalesi'ne yerleşti ve Bizans'la savaş başladı.","kuruluş"
"Cenevizlilere ticaret imtiyazı ne zaman verildi?","1352 yılında Osmanlılar Cenevizlilere kendi topraklarında serbest ticaret yapma imtiyazı verdi.","kuruluş"
"İlk kapitülasyonlar kime verildi?","1352 yılında Osmanlılar Cenevizlilere kendi topraklarında serbest ticaret yapma imtiyazı verdi.","kuruluş"
"İlk kapitülasyon ne zaman yapıldı?","1352 yılında Osmanlılar Cenevizlilere kendi topraklarında serbest ticaret yapma imtiyazı verdi.","kuruluş"
"Cenevizliler hangi imtiyazı aldı?","1352 yılında Osmanlılar Cenevizlilere kendi topraklarında serbest ticaret yapma imtiyazı verdi.","kuruluş"
"Gelibolu'yu kim fethetti?","1354 yılında Süleyman Paşa Gelibolu'yu fethetti.","kuruluş"
"Gelibolu ne zaman fethedildi?","1354 yılında Süleyman Paşa Gelibolu'yu fethetti.","kuruluş"
"Süleyman Paşa Gelibolu'yu ne zaman aldı?","1354 yılında Süleyman Paşa Gelibolu'yu fethetti.","kuruluş"
"Gelibolu'nun fethi hangi yılda oldu?","1354 yılında Süleyman Paşa Gelibolu'yu fethetti.","kuruluş"
"Sivrihisar ne zaman alındı?","1356 yılında Sivrihisar alındı.","kuruluş"
"Sivrihisar'ın fethi hangi yılda oldu?","1356 yılında Sivrihisar alındı.","kuruluş"
"Sivrihisar hangi yılda fethedildi?","1356 yılında Sivrihisar alındı.","kuruluş"
"1356 yılında hangi kale alındı?","1356 yılında Sivrihisar alındı.","kuruluş"
"Orhan Gazi'nin oğlu Halil ne zaman kurtarıldı?","1357 yılında Orhan Gazi'nin esir düşen oğlu Halil'in kurtarılması karşılığında Osmanlı-Bizans savaşında ateşkes imzalandı.","kuruluş"
"Ateşkes ne zaman imzalandı?","1357 yılında Orhan Gazi'nin esir düşen oğlu Halil'in kurtarılması karşılığında Osmanlı-Bizans savaşında ateşkes imzalandı.","kuruluş"
"Halil'in kurtarılması karşılığında ne yapıldı?","1357 yılında Orhan Gazi'nin esir düşen oğlu Halil'in kurtarılması karşılığında Osmanlı-Bizans savaşında ateşkes imzalandı.","kuruluş"
"1357'deki ateşkesin sebebi nedir?","1357 yılında Orhan Gazi'nin esir düşen oğlu Halil'in kurtarılması karşılığında Osmanlı-Bizans savaşında ateşkes imzalandı.","kuruluş"
"Süleyman Paşa ne zaman öldü?","1357 yılında Süleyman Paşa öldü.","kuruluş"
"Süleyman Paşa'nın ölüm yılı nedir?","1357 yılında Süleyman Paşa öldü.","kuruluş"
"Rumeli fatihi Süleyman Paşa ne zaman vefat etti?","1357 yılında Süleyman Paşa öldü.","kuruluş"
"Süleyman Paşa'nın ölümü hangi yılda oldu?","1357 yılında Süleyman Paşa öldü.","kuruluş"
"Lapseki Haçlı Seferi ne zaman yenilgiye uğratıldı?","1359 yılında Bizans'ın kışkırtmasıyla düzenlenen Lapseki Haçlı Seferi yenilgiye uğratıldı ve Bizans'la savaş yeniden başladı.","kuruluş"
"Bizans'la savaş ne zaman yeniden başladı?","1359 yılında Bizans'ın kışkırtmasıyla düzenlenen Lapseki Haçlı Seferi yenilgiye uğratıldı ve Bizans'la savaş yeniden başladı.","kuruluş"
"1359'da ne oldu?","1359 yılında Bizans'ın kışkırtmasıyla düzenlenen Lapseki Haçlı Seferi yenilgiye uğratıldı ve Bizans'la savaş yeniden başladı.","kuruluş"
"Lapseki Haçlı Seferi'nin sonucu ne oldu?","1359 yılında Bizans'ın kışkırtmasıyla düzenlenen Lapseki Haçlı Seferi yenilgiye uğratıldı ve Bizans'la savaş yeniden başladı.","kuruluş"
"Panados' Çorlu' Lüleburgaz' Babaeski' Keşan ve Dimetoka ne zaman fethedildi?","1360 yılında Bizans'tan Panados' Çorlu' Lüleburgaz' Babaeski' Keşan ve Dimetoka fethedildi.","kuruluş"
"Bu şehirler hangi devletten alındı?","1360 yılında Bizans'tan Panados' Çorlu' Lüleburgaz' Babaeski' Keşan ve Dimetoka fethedildi.","kuruluş"
"1360 yılındaki fetihler nelerdir?","1360 yılında Bizans'tan Panados' Çorlu' Lüleburgaz' Babaeski' Keşan ve Dimetoka fethedildi.","kuruluş"
"Trakya fetihleri ne zaman yapıldı?","1360 yılında Bizans'tan Panados' Çorlu' Lüleburgaz' Babaeski' Keşan ve Dimetoka fethedildi.","kuruluş"
"Edirne ne zaman fethedildi?","1361 yılında Sazlıdere Zaferi sonrası Edirne fethedildi ve başkent yapıldı.","kuruluş"
"Edirne hangi savaştan sonra fethedildi?","1361 yılında Sazlıdere Zaferi sonrası Edirne fethedildi ve başkent yapıldı.","kuruluş"
"Osmanlı başkenti ne zaman Edirne'ye taşındı?","1361 yılında Sazlıdere Zaferi sonrası Edirne fethedildi ve başkent yapıldı.","kuruluş"
"Sazlıdere Zaferi ne zaman oldu?","1361 yılında Sazlıdere Zaferi sonrası Edirne fethedildi ve başkent yapıldı.","kuruluş"
"Yeniçeri Ocağı ne zaman kuruldu?","1361 yılında Yeniçeri Ocağı kuruldu.","kuruluş"
"Yeniçeri Ocağı'nın kuruluş yılı nedir?","1361 yılında Yeniçeri Ocağı kuruldu.","kuruluş"
"İlk düzenli piyade sınıfı ne zaman oluşturuldu?","1361 yılında Yeniçeri Ocağı kuruldu.","kuruluş"
"Yeniçeriler hangi yılda kuruldu?","1361 yılında Yeniçeri Ocağı kuruldu.","kuruluş"
"Orhan Gazi ne zaman vefat etti?","1362 yılında Orhan Gazi vefat etti ve I. Murat tahta çıktı.","kuruluş"
"I. Murat ne zaman tahta çıktı?","1362 yılında Orhan Gazi vefat etti ve I. Murat tahta çıktı.","kuruluş"
"1362'de tahta kim çıktı?","1362 yılında Orhan Gazi vefat etti ve I. Murat tahta çıktı.","kuruluş"
"Orhan Gazi'nin yerine kim geçti?","1362 yılında Orhan Gazi vefat etti ve I. Murat tahta çıktı.","kuruluş"
"Kadıaskerlik makamı ne zaman kuruldu?","1362 yılında kadıaskerlik teşkil edildi.","kuruluş"
"Kadıaskerlik nedir?","1362 yılında kadıaskerlik teşkil edildi.","kuruluş"
"İlk kadıasker ne zaman atandı?","1362 yılında kadıaskerlik teşkil edildi.","kuruluş"
"Kazaskerlik ne zaman teşkil edildi?","1362 yılında kadıaskerlik teşkil edildi.","kuruluş"
